BJDtcb1 BJDtcb2 BJDtdb1 BJDtdb2 RvTot
2443280 0.496409778072988 2443280 0.496407668669445 -32812.4449180967
2443290 0.49701317072652 2443290 0.497010906261645 -36166.0958782958
2443300 0.497716795347966 2443300 0.497714375820204 -38934.0973356981
2443310 0.498500973392724 2443310 0.498498398800826 -41100.7996207173
2443320 0.499343495088845 2443320 0.499340765431906 -42545.7990507071
2443330 0.500219748827357 2443330 0.500216864104856 -43267.804123033
2443340 0.501106080422577 2443340 0.501103040634356 -43265.7119924746
2443350 0.501977133482328 2443350 0.501973938628624 -42479.3803676319
2443360 0.502807954613966 2443360 0.502804604695403 -40989.2537533758
2443370 0.503575848756497 2443370 0.503572343774052 -38805.1022603097
2443380 0.504257834886812 2443380 0.504254174841815 -35948.6798063632
2443390 0.504834148154794 2443390 0.504830333048885 -32559.0634901852
2443400 0.505288042029824 2443400 0.5052840718649 -28666.678606018
2443410 0.505604459222356 2443410 0.505600334000549 -24382.4254973134
2443420 0.50577379581725 2443420 0.505769515540841 -19870.1591032692
2443430 0.505789801580999 2443430 0.505785366252365 -15192.0260042702
2443440 0.505649974671582 2443440 0.505645384293139 -10530.9813236892
2443450 0.505358215211222 2443450 0.505353469785326 -6034.57602865215
2443460 0.504921575805404 2443460 0.504916675334302 -1792.05566545122
2443470 0.50435210914692 2443470 0.504347053632671 1991.75027198417
2443480 0.503667294975134 2443480 0.503662084419527 5227.74484772286
2443490 0.502886724667348 2443490 0.502881359071867 7827.16525286336
