Code;Name;Elong.rad;PhiGd.rad;height.m;x.m;y.m;z.m;PhiGc.rad;rho.m;CosPhiGc;SinPhiGc
089;Nikolaev;0,558063792337431;0,81980910839114;53,697047427166;3698537,31732256;2308832,4006985;4639650,3802;0,816457894308406;6366807,75527523;0,68359;0,72743
090;Mainz;0,143989663289532;0,871672426933792;1855,91045576732;4071327,13713286;590314,340657299;4860142,68;0,868362935079498;6367508,34693585;0,645;0,762
091;Observatoire de Nurol, Aurec sur Loire;0,0734642243420201;0,792054527372172;469,885932390233;4475745,64628415;329399,985303074;4517553,64618;0,788696503960013;6367817,08175285;0,70363;0,708287
092;Torun-Piwnice;0,32383886139054;0,926705268475579;96,5928551923248;3638668,31886572;1221338,28482993;5077063,2214;0,923477103932717;6364600,95330422;0,60177;0,79601
093;Skibotn;0,355431066180889;1,21037412441792;-133,320048482835;2114943,61653469;785057,583866876;5945702,108;1,20815184538773;6359298,34715933;0,3537;0,9322
094;NA;0,59336656711752;0,774980042319498;372,179561436665;3784270,9965425;2552273,17188399;4440461,068;0,771622783789077;6368084,46988694;0,71565;0,6962
095;Crimea-Nauchnij;0,593691198358391;0,780625644749048;595,259521633097;3762665,43400736;2539478,94767989;4466228,7536;0,777267800607067;6368186,85133112;0,71172;0,70024
096;Merate;0,164554877865781;0,797595089021897;365,018681573099;4402309,69310347;731031,844628602;4542192,401;0,794237586946489;6367593,73700584;0,69967;0,71215
097;Wise Observatory, Mitzpeh Ramon;0,606720081224529;0,533994950798204;907,169105440347;4514861,54556435;3133530,14134693;3227849,0912;0,531057361791307;6373538,70921846;0,86165;0,50608
098;Asiago Observatory, Cima Ekar;0,201917141163224;0,800208814164527;1428,77480952747;4360970,74698022;892720,074397214;4554565,9926;0,796852288002594;6368601,60225127;0,697916;0,71409
099;Lahti;0,445582558034152;1,0682895589343;1766,10890576302;2779846,9883618;1327706,10911151;5568116,22;1,06545015705754;6363510,90439101;0,483;0,873
100;NA;0,421147948506232;1,09196519067234;532,930514805751;2689218,71356811;1204635,88196082;5638275,76;1,08921342142192;6361854,953024;0,462;0,884
101;Kharkov;0,632371185241089;0,872711732491875;123,515797387141;3313397,82396104;2427901,3762419;4863076,6244;0,869402523597682;6365754,03918285;0,64403;0,76246
102;Zvenigorod;0,641574829985631;0,972139912961329;187,289223310311;2886266,43855899;2156025,23502698;5245816,04952;0,969009271258561;6363769,69993625;0,564841;0,822468
103;Ljubljana;0,253556895873681;0,803615536127148;456,499807871135;4293327,65417252;1112547,96318465;4568955,07644;0,800259176330007;6367556,50206542;0,695365;0,716346
104;San Marcello Pistoiese;0,188568863043971;0,769045012937714;968,255364618299;4509916,38381674;860655,190435394;4413800,4428;0,765689269183717;6368807,38401653;0,71985;0,69202
105;Moscow;0,655730671949782;0,973120764280899;183,841439464081;2851358,05079864;2193511,40783124;5249336,7828;0,969992514348697;6363746,67074335;0,56403;0,82302
106;NA;0,245587024377374;0,801907316800059;714,132195847343;4309822,45858052;1080241,83828814;4561581,9466;0,798550732920985;6367850,65066857;0,69662;0,71519
107;Cavezzo;0,192038577596936;0,78300519324117;-0,232152769258757;4445108,01195132;864283,011263543;4476561,3404;0,779646866883484;6367540,48246546;0,70998;0,70186
108;Montelupo;0,192471419251431;0,763374095824784;37,2266972551035;4530437,88614753;882909,362802346;4387139,8176;0,760019450374803;6367997,50018295;0,72367;0,68784
